formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Ho2AlSi2,mp-10528,0.0,5.59150925,0.0,icsd-92451,"{67: 2, 13: 1, 14: 2}","[13, 14, 67]",131142672,Ho2Al1Si2
Er2AlSi2,mp-10529,0.0,5.64367038,0.0,icsd-92452,"{68: 2, 13: 1, 14: 2}","[13, 14, 68]",131142682,Er2Al1Si2
Tm2AlSi2,mp-10530,0.0,5.65446602,0.0,icsd-92453,"{69: 2, 13: 1, 14: 2}","[13, 14, 69]",131142692,Tm2Al1Si2
Lu2AlSi2,mp-10531,0.0,5.75243691,0.0,icsd-92454,"{71: 2, 13: 1, 14: 2}","[13, 14, 71]",131142712,Lu2Al1Si2
AlP,mp-1550,1.6294000000000004,4.36978098,0.0,icsd-52649,"{13: 1, 15: 1}","[13, 15]",131151,Al1P1
AlPS4,mp-1102285,2.8338,1.49607681,0.0,icsd-428184,"{13: 1, 15: 1, 16: 4}","[13, 15, 16]",131151164,Al1P1S4
AlPI8,mp-568423,1.4267999999999998,0.02802187,0.0,icsd-35403,"{13: 1, 15: 1, 53: 8}","[13, 15, 53]",131151538,Al1P1I8
AlPPt5,mp-1025271,0.0,8.31185154,0.0,icsd-609024,"{13: 1, 15: 1, 78: 5}","[13, 15, 78]",131151785,Al1P1Pt5
K3AlP2,mp-541684,0.6989999999999998,1.93448818,0.0,icsd-300130,"{19: 3, 13: 1, 15: 2}","[13, 15, 19]",131152193,K3Al1P2
AlP2I9,mp-28046,1.6553,0.37649142,0.0,icsd-35404,"{13: 1, 15: 2, 53: 9}","[13, 15, 53]",131152539,Al1P2I9
Cs3AlP2,mp-619651,0.9749000000000003,2.31094304,0.0,icsd-300131,"{55: 3, 13: 1, 15: 2}","[13, 15, 55]",131152553,Cs3Al1P2
Ba3AlP3,mp-1192373,0.6886999999999999,3.04624922,0.0,icsd-430169,"{56: 3, 13: 1, 15: 3}","[13, 15, 56]",131153563,Ba3Al1P3
La3Al11,mp-16505,0.0,7.70779201,0.0,icsd-608281,"{57: 3, 13: 11}","[13, 57]",1311573,La3Al11
Ce3Al11,mp-1213865,0.0,7.54499418,0.0,pf-17572,"{58: 3, 13: 11}","[13, 58]",1311583,Ce3Al11
AlBiSCl4,mp-561350,2.8305,0.03447033,0.0,icsd-414154,"{13: 1, 83: 1, 16: 1, 17: 4}","[13, 16, 17, 83]",131161174831,Al1Bi1S1Cl4
AlSCl7,mp-555805,2.4961,-1.08248774,0.0,icsd-35685,"{13: 1, 16: 1, 17: 7}","[13, 16, 17]",131161177,Al1S1Cl7
AlCuS2,mp-4979,1.6756000000000002,5.20145593,0.0,icsd-28733,"{13: 1, 29: 1, 16: 2}","[13, 16, 29]",131162291,Al1Cu1S2
AlAgS2,mp-5782,1.8992,2.88185789,0.0,icsd-604692,"{13: 1, 47: 1, 16: 2}","[13, 16, 47]",131162471,Al1Ag1S2
AlTlS2,mp-985477,2.1718,3.07202068,0.0,icsd-609264,"{13: 1, 81: 1, 16: 2}","[13, 16, 81]",131162811,Al1Tl1S2
AlAs3S5Cl4,mp-558360,2.2534,0.2144534,0.0,icsd-415503,"{13: 1, 33: 3, 16: 5, 17: 4}","[13, 16, 17, 33]",131165174333,Al1As3S5Cl4
La3MnAlS7,mp-866692,0.0,6.36404485,0.0,icsd-608303,"{57: 3, 25: 1, 13: 1, 16: 7}","[13, 16, 25, 57]",131167251573,La3Mn1Al1S7
Pr3MnAlS7,mp-867323,0.0,4.64085477,0.0,icsd-608498,"{59: 3, 25: 1, 13: 1, 16: 7}","[13, 16, 25, 59]",131167251593,Pr3Mn1Al1S7
Nd3MnAlS7,mp-864652,0.4429999999999996,4.7863621,0.0,icsd-608480,"{60: 3, 25: 1, 13: 1, 16: 7}","[13, 16, 25, 60]",131167251603,Nd3Mn1Al1S7
